Node,S1,S2,S12,N,XYZ
206,7063.827810140731,-872.6836263638606,1923.0109522496277,206,[3.175396 3.423444 0.      ]
207,355.77366431957535,44.74326850783018,-221.03669595130768,207,[3.195309 3.365805 0.      ]
208,7436.813771305262,-553.2533865438666,-946.9350291805567,208,[3.089833 3.449445 0.      ]
209,63.457371313937074,225.43728032182332,-55.83005933533768,209,[3.120559 3.396768 0.      ]
210,5819.654022169831,2600.397182510946,-23.364547800938055,210,[3.       3.458333 0.      ]
211,-76.32732217179046,-19.761688082183696,167.32310547018142,211,[3.040833 3.412626 0.      ]
212,6974.180453721232,371.9417065271549,1573.413779379329,212,[2.910167 3.449445 0.      ]
213,-126.74508527912076,-202.2545327095528,-130.51091979178133,213,[2.959167 3.412626 0.      ]
214,9807.613098350044,-607.1385391573078,745.8452800635866,214,[2.824604 3.423444 0.      ]
215,-46.32962719082843,48.22987422449796,-8.649691470906532,215,[2.879441 3.396768 0.      ]
216,9173.848402849817,-3469.177297022102,-2895.024038783875,216,[2.745716 3.381327 0.      ]
217,153.73739945075795,218.42098000457145,110.97221727853372,217,[2.804691 3.365805 0.      ]
218,2533.966897593148,-2073.375587193852,-6522.653896521499,218,[2.675909 3.324091 0.      ]
219,102.34851774188974,141.3555057962917,49.702637535054464,219,[2.737102 3.320644 0.      ]
220,-2052.995465852824,843.3921945201622,-5020.05173013022,220,[2.618673 3.254284 0.      ]
221,2753.234782772066,-840.2524859606953,-5391.963900967704,221,[2.679356 3.262898 0.      ]
222,-4644.883025715295,1563.1459134276658,-2644.8573421496794,222,[2.576556 3.175396 0.      ]
223,-1554.9928397589417,1366.151535465514,-4786.822220973244,223,[2.634195 3.195309 0.      ]
224,-4952.844846104728,1709.9516320183684,-1190.816421246177,224,[2.550555 3.089833 0.      ]
225,-4267.312630870241,2798.4033209129466,-2596.134454171477,225,[2.603232 3.120559 0.      ]
226,-3223.530763764754,2587.876478246744,76.38321251362754,226,[2.541667 3.       0.      ]
227,-4342.179426504054,3373.6236428417005,-337.2274686929972,227,[2.587374 3.040833 0.      ]
228,-3941.0864419225786,4417.951831627884,2082.616679518839,228,[3.367728 3.0735   0.      ]
229,-3655.7587816779246,6441.853929783118,1276.9788778201382,229,[3.330101 3.032666 0.      ]
230,-1691.555017979521,2361.660794511576,4484.547155137512,230,[3.346454 3.143506 0.      ]
231,-2169.6599651351235,5147.687460413754,3751.236391685274,231,[3.317414 3.096447 0.      ]
232,3017.4790893996615,-987.9199777550207,5018.844576120142,232,[3.311995 3.208051 0.      ]
233,1303.4443116481013,2182.5834715395704,5040.493266272586,233,[3.292644 3.156247 0.      ]
234,-368.5211445528207,-625.2761387974303,1121.3901735620493,234,[3.265165 3.265165 0.      ]
235,5328.756388173547,-959.5424772500194,4061.4105244658604,235,[3.256515 3.210318 0.      ]
236,-6656.989298689403,891.4930727235537,-805.7673810117187,236,[3.208051 3.311995 0.      ]
237,-6586.0596493348,1565.5491818918588,-1282.4643823560045,237,[3.210318 3.256515 0.      ]
238,-6264.860652744069,182.31909654381354,-413.114032411967,238,[3.143506 3.346454 0.      ]
239,-5207.260808761103,934.0221559432607,-550.8674259803313,239,[3.156247 3.292644 0.      ]
240,-5084.118014776893,-444.81918652399514,-124.18491814236741,240,[3.0735   3.367728 0.      ]
241,-4003.2981510604136,-236.249288748735,-89.19099610871697,241,[3.096447 3.317414 0.      ]
242,-4444.551175617538,-807.9819967278463,-139.8797299585513,242,[3.    3.375 0.   ]
243,-3190.735386787397,-647.9711308171884,-48.42867685155275,243,[3.032666 3.330101 0.      ]
244,-5284.1899356067415,-403.2393149210782,-318.2782444033319,244,[2.9265   3.367728 0.      ]
245,-3328.4990809794836,-620.0816933237052,-158.42246834451583,245,[2.967334 3.330101 0.      ]
246,-7061.170064071492,660.5243207753417,-288.8757850436813,246,[2.856494 3.346454 0.      ]
247,-4545.030153076626,38.28584045248783,-133.78196261619314,247,[2.903553 3.317414 0.      ]
248,-8645.342972209413,2168.925960949775,1414.4430416145324,248,[2.791949 3.311995 0.      ]
249,-6509.036257931757,1580.6128091772844,599.5902077802712,249,[2.843753 3.292644 0.      ]
250,-356.37141285127245,-247.79207272022222,-1131.6281436574761,250,[2.734835 3.265165 0.      ]
251,-7807.860934250066,1763.3296983505045,2288.121498987157,251,[2.789682 3.256515 0.      ]
252,1959.743929107416,838.6247995242193,-5235.534365245872,252,[2.688005 3.208051 0.      ]
253,5048.246017753743,350.913319659565,-4977.679447356153,253,[2.743485 3.210318 0.      ]
254,-1990.4094422963472,3348.9365397336996,-4196.261489029444,254,[2.653546 3.143506 0.      ]
255,945.3602658526863,3454.540387165295,-5125.086069232484,255,[2.707356 3.156247 0.      ]
256,-4082.939179654745,4815.037562288659,-1772.8772348372618,256,[2.632272 3.0735   0.      ]
257,-2323.5359638562495,5784.173372222346,-3710.0652912026167,257,[2.682586 3.096447 0.      ]
258,-3807.366751395602,6698.7475120956005,-1155.0532457566837,258,[2.669899 3.032666 0.      ]
259,-1325.8901781968725,8609.181392390288,3041.889708549323,259,[3.28601  3.057166 0.      ]
260,-2256.0872299858274,9237.848871768503,15.181884997588085,260,[3.291667 3.       0.      ]
261,1506.472553858831,6632.712444103707,5408.706352730015,261,[3.269464 3.111616 0.      ]
262,4799.001746454563,2887.3077508340084,5468.492558625241,262,[3.242663 3.161817 0.      ]
263,-3222.4014608427105,-2724.1710703071394,2748.7797029471108,263,[3.206239 3.206239 0.      ]
264,-4012.6433484881873,670.7119122426421,-611.7659941349572,264,[3.161817 3.242663 0.      ]
265,-1394.143169340042,406.3593875978423,494.0774065137414,265,[3.111616 3.269464 0.      ]
266,-9.766483983155737,-364.92634761609213,552.572322388266,266,[3.057166 3.28601  0.      ]
267,302.14449638543636,-688.446551075588,-34.361759663685994,267,[3.       3.291667 0.      ]
268,-227.97659453552996,-327.3822874431887,-615.4756429735039,268,[2.942834 3.28601  0.      ]
269,-2074.780719460075,552.8972772334519,-445.00696480305294,269,[2.888384 3.269464 0.      ]
270,-5148.5231767052965,838.801362730186,1055.5579897535852,270,[2.838183 3.242663 0.      ]
271,-3221.314906074721,-2313.7634048964674,-2552.0217122556337,271,[2.793761 3.206239 0.      ]
272,4742.316108075541,4051.956547517451,-5955.42394303686,272,[2.757337 3.161817 0.      ]
273,1498.65283158984,7247.011282472417,-5569.429842041724,273,[2.730536 3.111616 0.      ]
274,-1363.1439666978586,8947.81879785521,-3118.7945365776823,274,[2.71399  3.057166 0.      ]
275,-2344.303770193903,9452.705219378933,4.968537837412683,275,[2.708333 3.       0.      ]
276,-5267.118462740263,3123.446112473819,1739.6436472622754,276,[2.591414 2.918334 0.      ]
277,-3436.267689989507,703.7427543112229,5027.689727607808,277,[2.615051 2.840549 0.      ]
278,2585.4440228736385,-2451.2305702820586,5309.91032069297,278,[2.653339 2.768833 0.      ]
279,2864.1343413645936,-1306.7922594084232,1238.750918833664,279,[2.705372 2.705372 0.      ]
280,-331.7877778578761,-227.52627227053995,164.37502391001127,280,[2.768833 2.653339 0.      ]
281,397.08110663210323,209.76510574885822,-369.00678596400775,281,[2.840549 2.615051 0.      ]
282,51.100883139243024,655.7074838820248,164.7473028367356,282,[2.918334 2.591414 0.      ]
283,-231.0152429604343,-567.001540868877,-33.03319170481872,283,[3.       2.583333 0.      ]
284,16.232556442038913,406.59766508973564,-83.89258782083822,284,[3.081666 2.591414 0.      ]
285,222.84673335792172,253.54131689051349,211.07893988415236,285,[3.159451 2.615051 0.      ]
286,195.04968498741664,160.0925579773717,121.06087017029381,286,[3.231167 2.653339 0.      ]
287,2966.2755140698278,-1165.2838409430328,-3167.5687833461493,287,[3.294628 2.705372 0.      ]
288,-529.2587500105643,323.15459282569225,-5397.299633269595,288,[3.346661 2.768833 0.      ]
289,-3766.620869399314,1960.333408550426,-3786.020040292615,289,[3.384949 2.840549 0.      ]
290,-5150.4123084604,3372.3029961799707,-928.7107077552463,290,[3.408586 2.918334 0.      ]
291,-3354.5404378592084,6272.557072371512,2642.2986925913574,291,[2.673131 2.934667 0.      ]
292,-301.47699790651257,4065.02634838801,4879.018090626858,292,[2.692041 2.872439 0.      ]
293,3930.8921155551398,-248.5373858570198,4937.125543631479,293,[2.722671 2.815066 0.      ]
294,-1335.1100424885176,-1047.3173611905838,1631.400633177429,294,[2.764298 2.764298 0.      ]
295,-6767.673815614979,904.318098074876,-766.2284306208013,295,[2.815066 2.722671 0.      ]
296,-4013.0455927607327,322.41648099975987,-230.12640021241822,296,[2.872439 2.692041 0.      ]
297,-2959.3102183594,-470.09518715091747,-59.14040994006254,297,[2.934667 2.673131 0.      ]
298,-2853.1744852394468,-613.4382068683193,-96.710022802005,298,[3.       2.666667 0.      ]
299,-3306.159781815317,-382.7500315318295,-168.3957432313023,299,[3.065333 2.673131 0.      ]
300,-5051.569121118644,773.0998800914347,75.62061809191357,300,[3.127561 2.692041 0.      ]
301,-8421.08539799368,1792.5002822469028,1231.9244094853395,301,[3.184934 2.722671 0.      ]
302,-1600.6489991305118,-712.86003318742,-1484.106753422056,302,[3.235702 2.764298 0.      ]
303,3013.933923535673,1828.0028026917882,-5373.089908109483,303,[3.277329 2.815066 0.      ]
304,-756.9243616764244,5153.5143320170955,-4590.467513597722,304,[3.307959 2.872439 0.      ]
305,-3339.303673973878,6578.372176810764,-2311.7804070470133,305,[3.326869 2.934667 0.      ]
306,-5701.2375726247365,1730.9238344161602,1963.4631180412532,306,[2.550555 2.910167 0.      ]
307,-4409.633355507212,3254.865772878161,870.2002071144128,307,[2.587374 2.959167 0.      ]
308,-4699.673857464544,-782.561244989018,4764.874174805891,308,[2.576556 2.824604 0.      ]
309,-4212.857147332692,2022.425540919719,3572.595654384205,309,[2.603232 2.879441 0.      ]
310,602.3260771664251,-3372.338608305212,5021.580110435747,310,[2.618673 2.745716 0.      ]
311,-89.70241638619692,-994.33713033315,5272.186942325128,311,[2.634195 2.804691 0.      ]
312,5583.65421145917,-380.70525421130424,1516.6698471352804,312,[2.675909 2.675909 0.      ]
313,4457.517110484344,-2392.83924798734,3490.826050437836,313,[2.679356 2.737102 0.      ]
314,5359.355127642824,749.0903205266882,1748.7137383870977,314,[2.745716 2.618673 0.      ]
315,-194.9338261994567,-234.95988594824144,124.46919425365331,315,[2.737102 2.679356 0.      ]
316,6802.217211189165,-865.3527886961015,1938.481996810901,316,[2.824604 2.576556 0.      ]
317,347.9491086041835,59.82672897168459,-216.04323278820436,317,[2.804691 2.634195 0.      ]
318,7222.138920116439,-607.3798337604137,-877.6917516257683,318,[2.910167 2.550555 0.      ]
319,65.28458666265897,208.91206478414256,-62.19512076322074,319,[2.879441 2.603232 0.      ]
320,5685.310431526228,2560.1401578340215,-13.688606653399745,320,[3.       2.541667 0.      ]
321,-72.20643632755173,-10.711460858254895,165.11317747629082,321,[2.959167 2.587374 0.      ]
322,6827.158511634554,375.14764497975295,1582.6797840334473,322,[3.089833 2.550555 0.      ]
323,-124.88483692378213,-200.97302216135836,-127.52438996402029,323,[3.040833 2.587374 0.      ]
324,9662.369415681584,-607.9430062607557,783.8420864537779,324,[3.175396 2.576556 0.      ]
325,-48.69553626771767,44.0741464313428,-11.490963092342497,325,[3.120559 2.603232 0.      ]
326,9096.881708645455,-3460.5244928268053,-2829.68198783763,326,[3.254284 2.618673 0.      ]
327,149.42682280237204,219.02516328703518,108.02695148041627,327,[3.195309 2.634195 0.      ]
328,2529.0936586472762,-2079.432834360789,-6468.076042933843,328,[3.324091 2.675909 0.      ]
329,100.9814458223841,142.0365299625944,49.58113763701317,329,[3.262898 2.679356 0.      ]
330,-2035.821944561095,840.5625305380763,-5005.694818059962,330,[3.381327 2.745716 0.      ]
331,2727.050587596363,-833.8645186989133,-5348.5022742871715,331,[3.320644 2.737102 0.      ]
332,-4640.133700897464,1600.4904262222083,-2657.4525594894817,332,[3.423444 2.824604 0.      ]
333,-1566.7104363301899,1384.9469909941236,-4763.57809018146,333,[3.365805 2.804691 0.      ]
334,-4961.078483459598,1812.1616626199739,-1164.2302653867614,334,[3.449445 2.910167 0.      ]
335,-4263.5560785784155,2857.0420743896675,-2561.3687211840556,335,[3.396768 2.879441 0.      ]
336,-4230.743963761133,3430.900713894881,-259.3803847600077,336,[3.412626 2.959167 0.      ]
337,-4156.759296471553,4482.979629511843,2243.1647320116044,337,[2.632272 2.9265   0.      ]
338,-3816.992150508737,6531.942124330038,1347.8429217336868,338,[2.669899 2.967334 0.      ]
339,-1491.7088718050968,2233.847148093343,4899.460505413669,339,[2.653546 2.856494 0.      ]
340,-2140.881378849759,5092.970228298609,3991.6375865464315,340,[2.682586 2.903553 0.      ]
341,3585.3411571458846,-1328.524509141785,4951.821209059722,341,[2.688005 2.791949 0.      ]
342,1692.272689004734,1886.19814158966,5177.5040986633285,342,[2.707356 2.843753 0.      ]
343,-336.47959353310125,-677.6469825887151,1087.201567792234,343,[2.734835 2.734835 0.      ]
344,5553.8355994139165,-1102.4292132051323,3871.220760742644,344,[2.743485 2.789682 0.      ]
345,-6413.910634870463,690.8212404426913,-862.2219871045104,345,[2.791949 2.688005 0.      ]
346,-6350.276214902866,1383.350925242093,-1178.6493180718403,346,[2.789682 2.743485 0.      ]
347,-6071.576493676448,178.43537280370015,-460.7760190323434,347,[2.856494 2.653546 0.      ]
348,-4976.421080000774,819.3224274467148,-593.7136704110944,348,[2.843753 2.707356 0.      ]
349,-4950.434122704717,-407.51267251628514,-142.88285544148658,349,[2.9265   2.632272 0.      ]
350,-3866.8916337792025,-230.7881047865519,-122.08513454068503,350,[2.903553 2.682586 0.      ]
351,-4331.085461314007,-788.3511468213496,-147.726260628135,351,[3.    2.625 0.   ]
352,-3103.274710784793,-627.0358328146322,-55.5540870714101,352,[2.967334 2.669899 0.      ]
353,-5173.116476440771,-395.30245905372624,-326.32298860352387,353,[3.0735   2.632272 0.      ]
354,-3251.265278286081,-605.2127802554164,-158.801644536901,354,[3.032666 2.669899 0.      ]
355,-6943.276226375695,654.0008856239858,-299.756313083914,355,[3.143506 2.653546 0.      ]
356,-4460.709550635058,37.642806039979405,-136.4501696575473,356,[3.096447 2.682586 0.      ]
357,-8527.412641946248,2146.39845384939,1385.0411177877372,357,[3.208051 2.688005 0.      ]
358,-6409.314412646105,1557.0546119608225,585.1105860782553,358,[3.156247 2.707356 0.      ]
359,-353.7230037019922,-244.05970699209206,-1116.9809030539577,359,[3.265165 2.734835 0.      ]
