NID,U1,U2
1,0.0026215487413458294,-8.01319021544491e-05
2,0.002627625820733226,-0.00012069180924284994
3,0.002586821152411957,-0.000133212607732646
4,0.0024946732009091784,-0.00011779672016854319
5,0.002352614635640951,-4.081923849395452e-05
6,0.0022603156441059345,1.3317427732145458e-05
7,0.002173900393457492,3.4128918545380974e-05
8,0.00205330514940612,6.630666053824762e-05
9,0.0020208356237861637,0.000110070540825765
10,0.0019959520469460894,7.99245529126578e-05
11,0.001913490999505252,3.97549895275705e-05
12,0.0017751694844695244,-3.7012871330980875e-05
13,0.00160549639805629,-7.522190154212928e-05
14,0.0015045151070770541,-7.16774370235531e-05
15,0.0014348717548428793,-5.682393319414574e-05
16,0.0014104317348024803,-5.647415105781433e-05
17,0.00142094011507085,-2.2486192585534113e-05
18,0.0015388507125989003,-7.653173368709489e-06
19,0.0015473896043376035,-6.272015771835804e-05
20,0.0015920384790038531,-0.00011197426740927752
21,0.0016779875588200102,-0.00014119227352184095
22,0.0018295256462701826,-0.00011958534514485345
23,0.001969450810092923,-4.497751829770779e-05
24,0.002021312873626926,3.620503398255687e-05
25,0.00202370787420251,8.81629792596417e-05
26,0.002004037618229508,0.00010298061155931596
27,0.0019858133915781995,7.927899868298232e-05
28,0.0019912119601097553,2.0470121535558404e-05
29,0.002043545032411892,-6.508827136755433e-05
30,0.0021789097295673637,-0.00015323053162144524
31,0.00233337274501417,-0.00019809250478840257
32,0.0024303319345844957,-0.00018221342280076984
33,0.002486372212401513,-0.0001403349413440906
34,0.0025073146737943555,-8.883903051061696e-05
37,0.002501878716005118,-0.0001150254009690182
38,0.002571019323055346,-8.071462925093125e-05
41,0.002464528622293988,-0.00016286782288956532
44,0.002389375924443433,-0.00019501079341651623
47,0.002267444568111106,-0.000187594002446325
50,0.002100179607636408,-0.00010878916849339345
53,0.0020092225886319858,-1.8658937997108107e-05
56,0.0019843094186906165,5.4635308931556316e-05
59,0.001993357827472274,9.630665697190276e-05
62,0.0020151398151332465,0.00010084411957461864
65,0.0020268022873799352,6.708466597950914e-05
68,0.0020043894789013262,-9.869388906060394e-07
71,0.001910394285909558,-8.422582124503316e-05
74,0.0017406317349685542,-0.00014161637421905096
77,0.0016272178166394187,-0.00013030002826089668
80,0.00156346562343664,-8.839855823426565e-05
82,0.001473150187616914,-1.9741143881967392e-05
83,0.0015378862573635181,-3.524872769371695e-05
84,0.0014125936934297357,1.7534191522570503e-05
85,0.0014567383872241368,3.462872512454174e-05
86,0.0015722834466793314,1.0270405447176743e-05
87,0.0017191986100871957,-7.025732219791273e-05
88,0.0017997121819458132,-0.00011441658053885219
89,0.001881209405083136,-0.0001350752459910805
90,0.0019987826927246512,-0.00016530443297287255
91,0.0020312677055236384,-0.00020841359870814866
92,0.002055022535516056,-0.00017849229420457746
93,0.002135588004785357,-0.00013844693185018796
94,0.0022718072315237575,-6.213790511604668e-05
95,0.0024401559724069512,-2.4261991015114413e-05
96,0.0025404378068699233,-2.8022089215857413e-05
97,0.0026096148991790187,-4.321696413086276e-05
98,0.00263362481043954,-4.4645016473771556e-05
99,0.002497448747756379,-3.566199677898835e-05
100,0.0024530210420712095,1.1926130097189319e-05
101,0.0023683730127180658,4.025655968601649e-05
102,0.0022190824812572687,1.8860510906856364e-05
103,0.002081114743324385,-5.4679217064135834e-05
104,0.0020298434242899776,-0.00013473279474406497
105,0.0020272044907009433,-0.00018616108249445529
106,0.002046301951336069,-0.00020130784798480072
107,0.0020641801050941717,-0.0001789201989148394
108,0.002059343279727731,-0.00012237658025012225
109,0.002009410055265645,-3.9638554395278446e-05
110,0.001878852584730327,4.841979738339546e-05
111,0.0017249725663981,9.856745089064461e-05
112,0.0016234657323326038,8.633018700438403e-05
113,0.0015628689332112208,4.5067789610697066e-05
116,0.0015455621184453175,1.9280344118184077e-05
119,0.001586828386682935,6.756805370113314e-05
122,0.0016669001832242739,9.769821813368243e-05
125,0.0017915445539069372,8.51251984329563e-05
128,0.001955192081492626,3.3740256757129954e-06
131,0.002042218893572862,-8.465517634721719e-05
134,0.0020657908886934726,-0.00015528230265180083
137,0.002056742230257352,-0.0001951545724756394
140,0.0020354962003125534,-0.00019887935487637398
143,0.00202430500624682,-0.00016524119814258952
146,0.002046615348173361,-9.804081591873583e-05
149,0.0021393524305152495,-1.59922660029144e-05
152,0.002306676135071918,4.060262702401684e-05
155,0.002418349985768257,2.9696289179224507e-05
158,0.002481283427996677,-1.0878154749868176e-05
