Node,E1,E2,E12,N,XYZ
1,-0.0004741640287924513,0.0003879977998197851,4.8827316197276247e-05,1,[3.5 3.  0. ]
2,-0.0005897518016668621,0.00026530283264449456,0.0004229482878325896,2,[3.490303 3.097999 0.      ]
3,-0.0003417186158042251,-7.132003924187146e-06,0.0009414839542512092,3,[3.461939 3.191341 0.      ]
4,5.690176157037343e-06,-0.000273437863394624,0.001064087946790736,4,[3.415993 3.277401 0.      ]
5,0.0001707194259396141,-0.00010066830090923394,0.0004295096918651136,5,[3.353553 3.353553 0.      ]
6,-7.76408631521727e-05,-6.5631240715652756e-06,0.00017140530337516908,6,[3.277401 3.415993 0.      ]
7,0.00014851518903619528,-0.00019206302620688727,2.023945427217285e-06,7,[3.191341 3.461939 0.      ]
8,0.0004877498718305075,-0.0001628367780391287,-0.0006332635069811667,8,[3.097999 3.490303 0.      ]
9,2.5745438452199655e-05,0.00020897817050660148,-3.8827581956261134e-05,9,[3.  3.5 0. ]
10,0.00012874960932291336,-2.0879862727542645e-05,0.0003670303620098179,10,[2.902001 3.490303 0.      ]
11,0.00019803844147255186,-0.00013655414548663833,1.0252633923272907e-05,11,[2.808659 3.461939 0.      ]
12,0.00047332064648868605,-0.00037208064933202245,-0.000948457133129491,12,[2.722599 3.415993 0.      ]
13,6.0829980259878244e-05,-0.00013439482776801746,-0.00175842014874773,13,[2.646447 3.353553 0.      ]
14,-0.0003578313926663611,0.0002078897324605505,-0.0011372911547844007,14,[2.584007 3.277401 0.      ]
15,-0.0005916365638772986,0.00027955594625945487,-0.00034665413004403257,15,[2.538061 3.191341 0.      ]
16,-0.0005341374658460495,0.00029253834462485346,-0.000334588968456133,16,[2.509697 3.097999 0.      ]
17,-0.0004748831274681253,0.0003775974376288774,3.0433093521294724e-05,17,[2.5 3.  0. ]
18,-0.0004313780631307034,0.0011257993869239404,-3.0066795183424783e-06,18,[2.75 3.   0.  ]
19,-0.0002791610056816808,0.0010265032456580545,-0.000914299774453689,19,[2.754848 3.049    0.      ]
20,6.428952450136458e-05,0.0007973655330308685,-0.0016109825451699686,20,[2.769031 3.095671 0.      ]
21,0.0005887517249992917,0.0005874509508225312,-0.0018799308653294836,21,[2.792003 3.1387   0.      ]
22,-0.00026424806860380484,-3.762667361375204e-05,-0.0014653553645627704,22,[2.823223 3.176777 0.      ]
23,9.079365205293816e-05,5.960616132540342e-05,-3.388537991631281e-05,23,[2.8613   3.207997 0.      ]
24,0.00034228357868516107,2.5835781392960277e-05,-0.0004969418619195842,24,[2.904329 3.230969 0.      ]
25,0.00044757753728484964,-0.00010060416665708973,-0.00033572925281407555,25,[2.951    3.245152 0.      ]
26,0.0005023823267303745,-0.0001671151861493795,6.863644325604337e-06,26,[3.   3.25 0.  ]
27,0.0004374890614234281,-0.00010439599476779892,0.00034823963871209035,27,[3.049    3.245152 0.      ]
28,0.0003315582783042434,1.6215372610015196e-05,0.0005224671853704087,28,[3.095671 3.230969 0.      ]
29,0.00014429754774439307,9.597944039291869e-05,0.00015212105409880688,29,[3.1387   3.207997 0.      ]
30,-0.00023990171647720812,-0.00010590048190024337,0.0015588645576553387,30,[3.176777 3.176777 0.      ]
31,0.0005632374216745992,0.0005552398818928638,0.0017698321440866305,31,[3.207997 3.1387   0.      ]
32,6.664727504961457e-05,0.0007999834457216182,0.0015778316980560722,32,[3.230969 3.095671 0.      ]
33,-0.0002745815123785626,0.0010110453186249313,0.0008865531681434488,33,[3.245152 3.049    0.      ]
34,-0.00041906937996761054,0.001089403543485386,-3.1526436961824833e-06,34,[3.25 3.   0.  ]
37,-0.0003536946275469327,0.0010560569966267023,0.0004556077296775096,37,[3.247576 3.0245   0.      ]
38,-0.0005091262710395662,0.0005467668555278732,4.617399582925591e-05,38,[3.375 3.    0.   ]
41,-0.00010695084700648727,0.0008830825911900764,0.001283548998641415,41,[3.238061 3.072335 0.      ]
44,0.0003292082887990516,0.0005997757784956389,0.0017003117350152946,44,[3.219483 3.117186 0.      ]
47,0.0006460656735133678,0.00029168673414457953,0.002100001381534572,47,[3.192387 3.157739 0.      ]
50,-0.0003219255755421667,4.311079328856099e-05,-8.609782850012293e-05,50,[3.157739 3.192387 0.      ]
53,0.00023032761783064798,7.122181362105622e-05,0.0003302316221432053,53,[3.117186 3.219483 0.      ]
56,0.0003253371630543133,-4.102797286923386e-05,0.0004276179376021816,56,[3.072335 3.238061 0.      ]
59,0.00042732017901136315,-0.00013578290507698524,0.00017388128704418082,59,[3.0245   3.247576 0.      ]
62,0.00042860932747806196,-0.00013558984026804024,-0.0001619078783708372,62,[2.9755   3.247576 0.      ]
65,0.00032631766207058543,-4.228576061623035e-05,-0.0004041502709716191,65,[2.927665 3.238061 0.      ]
68,0.00022095456990178786,5.349018033366749e-05,-0.00026701644297248694,68,[2.882814 3.219483 0.      ]
71,-0.000410659138038616,-1.3309904858674945e-05,0.0003861155806099345,71,[2.842261 3.192387 0.      ]
74,0.0006982496475893621,0.00039041208771249973,-0.0023219270465758054,74,[2.807613 3.157739 0.      ]
77,0.0003466783756828212,0.0006043148168578755,-0.001765065624385082,77,[2.780517 3.117186 0.      ]
80,-0.00010601289282897303,0.0008959598899813723,-0.001319962412779813,80,[2.761939 3.072335 0.      ]
82,-0.000526830248119876,0.0005544131721053485,3.501938359339388e-05,82,[2.625 3.    0.   ]
83,-0.0003615415476074524,0.001083951045749496,-0.00047374631649757526,83,[2.752424 3.0245   0.      ]
84,-0.0006143268081001175,0.00028693587193085335,0.0004248369116388456,84,[2.509697 2.902001 0.      ]
85,-0.00043457066191732597,-3.933324485579582e-05,0.0011725186230593,85,[2.538061 2.808659 0.      ]
86,-9.455237917527063e-05,-0.00014018417716444822,0.0008497524012379317,86,[2.584007 2.722599 0.      ]
87,1.9620633639284846e-05,1.8471698290166748e-05,7.209524078918047e-05,87,[2.646447 2.646447 0.      ]
88,-5.106105557872698e-05,-3.3988314281069e-05,0.00015218917195938602,88,[2.722599 2.584007 0.      ]
89,0.00014548169023997963,-0.00018694530339587518,1.5402501787799977e-07,89,[2.808659 2.538061 0.      ]
90,0.0004830120966040903,-0.0001667579129164284,-0.0006162406154235057,90,[2.902001 2.509697 0.      ]
91,2.5245703354175378e-05,0.00020819466966117203,-4.6827766576966554e-05,91,[3.  2.5 0. ]
92,0.00012468846067971266,-1.4941804822150146e-05,0.0003589462164062581,92,[3.097999 2.509697 0.      ]
93,0.00019395806395523536,-0.00013329643089070368,1.4808968405936873e-05,93,[3.191341 2.538061 0.      ]
94,0.0004729294672983412,-0.0003722768044039318,-0.000932898018317341,94,[3.277401 2.584007 0.      ]
95,6.368301375663844e-05,-0.00013770829206409806,-0.0017474422953649054,95,[3.353553 2.646447 0.      ]
96,-0.0003547173240562821,0.00020590646087402113,-0.0011364003152600556,96,[3.415993 2.722599 0.      ]
97,-0.000589212986314148,0.00028113937762471223,-0.000354983283669254,97,[3.461939 2.808659 0.      ]
98,-0.0005368019610521441,0.00029954006496258793,-0.000335831646458441,98,[3.490303 2.902001 0.      ]
99,-0.0002718882360369067,0.0009974752249981343,-0.000887375080265658,99,[3.245152 2.951    0.      ]
100,6.180796752680573e-05,0.0007804001099072739,-0.0015740378451801831,100,[3.230969 2.904329 0.      ]
101,0.0005781191546990645,0.0005786067740766624,-0.00184747199157409,101,[3.207997 2.8613   0.      ]
102,-0.0002607207627338473,-3.7057304707549294e-05,-0.0014441646945109639,102,[3.176777 2.823223 0.      ]
103,8.941595307050687e-05,5.818209300455343e-05,-3.215473014521637e-05,103,[3.1387   2.792003 0.      ]
104,0.00033615470548062354,2.508599309303391e-05,-0.00048673960329435016,104,[3.095671 2.769031 0.      ]
105,0.0004378767977710682,-9.846255036690234e-05,-0.0003277391413907399,105,[3.049    2.754848 0.      ]
106,0.0004898827080200598,-0.0001631255138540809,7.17929019461265e-06,106,[3.   2.75 0.  ]
107,0.00042509640494153844,-0.00010189806177592162,0.00033928204629894536,107,[2.951    2.754848 0.      ]
108,0.00032376074833787016,1.2918110449950185e-05,0.0005111441847284182,108,[2.904329 2.769031 0.      ]
109,0.00015505537936739283,9.593087842042238e-05,0.00016765273110831355,109,[2.8613   2.792003 0.      ]
110,-0.0002259147158761507,-0.00012298829703045824,0.0015472965104218195,110,[2.823223 2.823223 0.      ]
111,0.0005610728173645312,0.0005343269882338792,0.0017481579368010605,111,[2.792003 2.8613   0.      ]
112,7.529813434595072e-05,0.0008141798155164379,0.0016099635427694126,112,[2.769031 2.904329 0.      ]
113,-0.00027883517833826067,0.0010424667172755026,0.0009156414951581497,113,[2.754848 2.951    0.      ]
116,-0.0003631043829757305,0.0010894286227738261,0.00046971267507877473,116,[2.752424 2.9755   0.      ]
119,-0.00010703899425183738,0.0009043319542420048,0.0013145414141329179,119,[2.761939 2.927665 0.      ]
122,0.0003330213970668787,0.0006008572754446161,0.0017081126720277298,122,[2.780517 2.882814 0.      ]
125,0.0006331247773181739,0.00026161721532851545,0.0020238056874200133,125,[2.807613 2.842261 0.      ]
128,-0.0002923858821839015,5.012367726658267e-05,-2.7947377606085677e-05,128,[2.842261 2.807613 0.      ]
131,0.00022738371206698464,7.028241779372894e-05,0.0003302200892154744,131,[2.882814 2.780517 0.      ]
134,0.00031679369318675377,-4.06629922188621e-05,0.0004187282072158835,134,[2.927665 2.761939 0.      ]
137,0.0004163410915655613,-0.00013231145390876949,0.00016999029061869064,137,[2.9755   2.752424 0.      ]
140,0.0004186694189807702,-0.00013257288415226796,-0.00015762126216606331,140,[3.0245   2.752424 0.      ]
143,0.0003196396012400682,-4.1665819890173306e-05,-0.0003952907039016379,143,[3.072335 2.761939 0.      ]
146,0.00021727304689879434,5.211882899856324e-05,-0.00026120295373709135,146,[3.117186 2.780517 0.      ]
149,-0.00040472593609730545,-1.3514733377674296e-05,0.00038095160666620775,149,[3.157739 2.807613 0.      ]
152,0.0006869779218086139,0.0003848414397356484,-0.0022865098801909886,152,[3.192387 2.842261 0.      ]
155,0.00033954326864542306,0.0005932073341995163,-0.0017308191601421116,155,[3.219483 2.882814 0.      ]
158,-0.00010412253644595526,0.0008742204845077722,-0.0012872309183661092,158,[3.238061 2.927665 0.      ]
160,-0.0003516221244034834,0.0010520242209458785,-0.0004593060368207197,160,[3.247576 2.9755   0.      ]
161,-0.0004442232876807955,0.00039634685840563586,4.0994568251876036e-05,161,[2.583333 3.       0.      ]
162,-0.0005900738346466183,0.0007658681955827993,2.0778639096775443e-05,162,[2.666667 3.       0.      ]
163,-0.0005723088650555434,0.0007503330588141646,2.3682284439828158e-05,163,[3.333333 3.       0.      ]
164,-0.0004256184147261718,0.00039513862886850806,6.481949713881604e-05,164,[3.416667 3.       0.      ]
165,-0.0005468353625673935,0.00043665652018483726,0.00039876333945504036,165,[3.408586 3.081666 0.      ]
166,-0.00035691020233505257,0.00018282360771066855,0.001100434901569866,166,[3.384949 3.159451 0.      ]
167,0.00021595728693947144,-0.0002451838419111354,0.0013424576339892526,167,[3.346661 3.231167 0.      ]
168,0.00030622938262372425,-0.00022633841771064784,0.0003702276499155596,168,[3.294628 3.294628 0.      ]
169,-2.025937773532903e-05,-1.2070113736008389e-05,3.620367383803079e-05,169,[3.231167 3.346661 0.      ]
