,NID,U1,U2
0,1,0.0013944560241283721,-1.2407620402507469e-05
1,2,0.0013838972380340949,-1.57182526348117e-05
2,3,0.001371048501719371,-1.994721476384904e-05
3,4,0.0013570064412970473,-2.7222669505397588e-05
4,5,0.0013514378623922091,-4.359197025844172e-05
5,9,0.0009943423645027791,1.1803920510942781e-05
6,10,0.0009918901043271251,-2.2409488882298503e-05
7,11,0.0009836771874818114,-4.3440042841697716e-05
8,12,0.0009721476602956144,-5.704879604062963e-05
9,13,0.0009582106808051582,-6.767980694822652e-05
10,26,0.0016269261339689946,-4.7925250615594466e-05
11,27,0.0016271401279762479,-6.170172419273457e-05
12,28,0.0016285070114091052,-7.637439250031405e-05
13,29,0.0016314730514125453,-9.171872880785195e-05
14,30,0.0016360845592550085,-0.0001071227188472786
15,31,0.0015737194946837936,-9.841707778294239e-05
16,32,0.0015089187171311881,-8.61316800601763e-05
17,33,0.0014385901149002987,-6.870964127156986e-05
18,34,0.0014483509021886909,-2.115305226757752e-05
19,35,0.0015058572894586174,-3.137140169412781e-05
20,36,0.001565723346624128,-4.0650023570705065e-05
21,37,0.0015643534220183988,-5.3247828574337776e-05
22,38,0.0015646075212166321,-6.737072210084429e-05
23,39,0.001567539140415265,-8.268388820980363e-05
24,40,0.0015018815688240261,-4.189797119389108e-05
25,41,0.001499515774003185,-5.4621245371299706e-05
26,42,0.0015011734416211482,-6.978118361427818e-05
27,43,0.0014410636064184138,-2.835612556421339e-05
28,44,0.0014339598529051036,-3.7779213769467994e-05
29,45,0.001430520820122723,-5.111901864163057e-05
30,46,0.0007961480780219382,-4.759777127401959e-05
31,47,0.0008766766604907824,-6.0981619906206206e-05
32,51,0.0031725289233480677,-0.00012335604418795609
33,52,0.0030759551931759414,-0.00012336071892407791
34,53,0.002979380560677499,-0.00012336501695009935
35,54,0.0028828031863349732,-0.00012337122410105073
36,55,0.002786223902761042,-0.00012338286113411912
37,56,0.0026896456491520408,-0.00012340451847596396
38,57,0.0025930699149850807,-0.00012343998941637452
39,58,0.0024965098334798893,-0.00012349842456178359
40,59,0.002399986144825579,-0.00012357844147331824
41,60,0.002303551496934593,-0.0001236871147052689
42,61,0.0022072449391824962,-0.0001237611448556613
43,62,0.0021111762085701965,-0.00012372827275869308
44,63,0.0020154591289980265,-0.00012338937334892259
45,64,0.0019201918755337318,-0.0001223640604441663
46,65,0.0018253562463571387,-0.0001202571034017786
47,66,0.0017309441167519262,-0.00011569434474353582
48,67,0.0007449565646472032,-6.849343628856441e-05
49,68,0.0007013042368730539,-8.507078040772122e-05
50,69,0.0006647185733552503,-0.0001014197217208143
51,70,0.0006338889437728044,-0.0001164496792796861
52,71,0.000610094770131732,-0.00013153843664001483
53,72,0.0005941641263247497,-0.00014442518950570703
54,73,0.000592456160515549,-0.000157835445341673
55,74,0.0005869736716175648,-0.0001657478266383606
56,75,0.0005777576069648723,-0.0001696646760495813
57,76,0.0005649335838574706,-0.00017060768383533246
58,77,0.0005487681275503531,-0.0001694980162898698
59,78,0.0005297096040204959,-0.00016707633047501988
60,79,0.0005081996055437422,-0.00016384262830797307
61,80,0.0004846199877628782,-0.00016016508422430427
62,81,0.0004593188442198652,-0.00015631224227613262
63,82,0.0004325932485502216,-0.00015247375186761393
64,83,0.0004047026379521881,-0.00014878150499248152
65,84,0.00037586648626881887,-0.00014532202426816886
66,85,0.0003462708567380273,-0.00014214852899586757
67,86,0.0003160709723544296,-0.00013928933313782135
68,87,0.0002853949673453358,-0.00013675498206705832
69,88,0.00025434814338719393,-0.0001345437508778079
70,89,0.00022301583259805747,-0.00013264593110745373
71,90,0.00019146659210191464,-0.0001310471663107443
72,91,0.00015975501151036043,-0.00012973102757446396
73,92,0.00012792438362447167,-0.00012868096831574865
74,93,9.600882647830208e-05,-0.000127881776396449
75,94,6.403543359187401e-05,-0.0001273206490808678
76,95,3.2026268394617256e-05,-0.00012698794955852942
77,96,0.0,-0.00012687770475796375
78,97,0.0,-0.00011645306274106303
79,98,0.0,-0.00010607041486465666
80,99,0.0,-9.569930328112353e-05
81,100,0.0,-8.531027380142779e-05
82,101,0.0,-7.487813507738325e-05
83,102,0.0,-6.43838845095322e-05
84,103,0.0,-5.38158418823084e-05
85,104,0.0,-4.317051987186923e-05
86,105,0.0,-3.2452198650024734e-05
87,106,0.0,-2.1672235469988e-05
88,107,0.0,-1.0847771327326142e-05
89,108,0.0,0.0
90,109,3.138499239557454e-05,0.0
91,110,6.280347964002564e-05,0.0
92,111,9.42902668833166e-05,0.0
93,112,0.00012588262076636814,0.0
94,113,0.00015762157710803588,0.0
95,114,0.00018955324654949243,0.0
96,115,0.00022173000879925744,0.0
97,116,0.0002542114653847456,0.0
98,117,0.0002870664405850063,0.0
99,118,0.0003203729449340088,0.0
100,119,0.0003542197029403387,0.0
101,120,0.00038870729736246735,0.0
102,121,0.00042394801671777,0.0
103,122,0.00046006580221593984,0.0
104,123,0.0004971983931977248,0.0
105,124,0.0005354929039021891,0.0
106,125,0.0005751108099639077,0.0
107,126,0.0006162205508602965,0.0
108,127,0.0006590079566809547,0.0
109,128,0.0007036676246863847,0.0
110,129,0.0007504480293957773,0.0
111,130,0.0007997198088961427,0.0
112,131,0.0008507269581442925,0.0
113,132,0.0009049424400310637,0.0
114,133,0.0009620256826592526,0.0
115,134,0.0010219853660572078,0.0
116,135,0.0010846812221143858,0.0
117,136,0.0011496745459030396,0.0
118,137,0.001216116382792713,0.0
119,138,0.001283312165339821,0.0
120,139,0.0013515227457305682,0.0
121,140,0.0014229255746056383,0.0
122,141,0.0014999959628673846,0.0
123,142,0.0015834107962417968,0.0
124,143,0.001672344880515048,0.0
125,144,0.0017640634803344159,0.0
126,145,0.0018577262330682527,0.0
127,146,0.0019518772033510312,0.0
128,147,0.002046159375776073,0.0
129,148,0.0021403766314141105,0.0
130,149,0.0022344967294487027,0.0
131,150,0.002328479117230186,0.0
132,151,0.00242236895971665,0.0
133,152,0.0025161979631249925,0.0
134,153,0.002609989114277963,0.0
135,154,0.0027037620552484254,0.0
136,155,0.0027975234279406552,0.0
137,156,0.0028912803246594486,0.0
138,157,0.0029850351828154572,0.0
139,158,0.003078790336505351,0.0
140,159,0.003172545388982992,0.0
141,160,0.0031725437464561585,-3.083722169584578e-05
142,161,0.003172539463492693,-6.167545360412153e-05
143,162,0.003172533996785762,-9.251519222015546e-05
144,547,0.0013005398948312576,-2.9087964867867306e-05
145,548,0.0012442897525836267,-1.709334707700655e-05
146,549,0.0011866242982683055,-7.6323351071272e-06
147,550,0.0011303684675197366,-3.4503135655267445e-07
148,551,0.001077951577960531,5.156202658977089e-06
149,552,0.0010316419721601957,9.154990399377136e-06
150,553,0.0010215505369757937,-6.535239272746767e-05
151,554,0.0010889650792315784,-5.5387680475536294e-05
152,555,0.0011560035663296853,-4.098079754074943e-05
153,556,0.0012193900150503545,-2.461756311360399e-05
154,557,0.001279224602524951,-1.3220795872293384e-05
155,558,0.0013370390025287777,-8.59436408521925e-06
156,559,0.0013321310777396037,-9.990989788278723e-06
157,560,0.0013240380872738301,-1.1445776267419983e-05
158,561,0.001312611670036146,-1.4481349531212519e-05
159,562,0.001279450377915876,-1.2852329265189063e-05
160,563,0.0012758720841096252,-1.1582782132239435e-05
161,564,0.0012665859292878153,-1.0384069755453286e-05
162,565,0.0012238354179258772,-2.314558743340667e-05
163,566,0.0012236373931956892,-1.9640538919655577e-05
164,567,0.0012158403806700729,-1.4108571923629533e-05
165,568,0.0011626342077532463,-3.7294981511705745e-05
166,569,0.0011651729454469277,-3.150857096283624e-05
167,570,0.0011593286340530005,-2.1387544480990233e-05
168,571,0.0010980076854183779,-5.0105531661309754e-05
169,572,0.0011028298241302944,-4.1601399955541434e-05
170,573,0.0010998486458675928,-2.7192139747183877e-05
171,574,0.001032791797469747,-5.733493701942107e-05
172,575,0.001040578634430763,-4.587857505557961e-05
173,576,0.0010418729814128582,-2.784218222209921e-05
174,956,0.000834360577109198,-5.27340297354354e-05
175,957,0.0009164908862008944,-6.523430709538019e-05
176,958,0.000939669490286399,-1.52910962999286e-05
177,959,0.0008922855307250347,-3.443003467219643e-05
178,960,0.0008437158256071182,-4.1975260370855454e-05
179,961,0.0009279641642602082,-4.263712683526257e-05
180,962,0.0009283415199726296,-5.491279409989512e-05
181,963,0.0009525379904055513,-2.755809603593623e-05
182,964,0.0008976725553313978,-5.406836299033993e-05
183,965,0.0008876295977572319,-4.41780247896036e-05
184,966,0.0030769157405872148,-6.157797928110736e-05
185,967,0.0029810486588971014,-6.142667774487043e-05
186,968,0.002884627875729309,-6.111625834088754e-05
187,969,0.002787511774963327,-6.050675973433643e-05
188,970,0.002691569127199175,-5.920836543396412e-05
189,971,0.0026122563866068475,-5.668180791079623e-05
190,972,0.00255021580188198,-6.096668639177693e-05
191,973,0.002486279092736516,-6.274512200023173e-05
192,974,0.0024170084572166604,-6.391156446980466e-05
193,975,0.0023456750537993966,-6.545329913773586e-05
194,976,0.002272751831921521,-6.731731751187892e-05
195,977,0.00219567917147643,-6.713234448326478e-05
196,978,0.0021148945684119004,-6.477189639329739e-05
197,979,0.0020295707109077798,-6.287295580642349e-05
198,980,0.001944287443176135,-6.093661409268098e-05
199,981,0.00186362169128493,-5.82323830211853e-05
200,982,0.0017937632683339717,-5.4558381896922216e-05
201,983,0.0017338132873166649,-5.245536170535464e-05
202,984,0.0016790957069940573,-4.983497763706248e-05
203,985,0.002036592884871315,-3.2151308309055e-05
204,986,0.001864295076877063,-2.9610782306897982e-05
205,987,0.0016747148870749691,-1.521325957898464e-05
206,988,0.0016769731790626527,-3.141559012600171e-05
207,989,0.0015705242517370988,-2.0767048342538678e-05
208,990,3.180717953207616e-05,-0.00011656275638412069
209,991,3.163248160203129e-05,-0.00010617930404872057
